"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 11:16:25 UTC 2026","Fri Jun 05 11:16:27 UTC 2026","1335","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Fri Jun 05 11:16:27 UTC 2026","Fri Jun 05 11:16:29 UTC 2026","1629","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 05 11:16:30 UTC 2026","Fri Jun 05 11:16:33 UTC 2026","2481","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Fri Jun 05 11:16:28 UTC 2026","Fri Jun 05 11:16:29 UTC 2026","1438","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jun 05 11:16:21 UTC 2026","Fri Jun 05 11:16:23 UTC 2026","1739","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:16:30 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","2017","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Jun 05 11:16:24 UTC 2026","Fri Jun 05 11:16:25 UTC 2026","1705","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:16:33 UTC 2026","Fri Jun 05 11:16:35 UTC 2026","1404","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Jun 05 11:16:21 UTC 2026","Fri Jun 05 11:16:25 UTC 2026","3212","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jun 05 11:16:32 UTC 2026","Fri Jun 05 11:16:32 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Fri Jun 05 11:16:25 UTC 2026","Fri Jun 05 11:16:26 UTC 2026","1485","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
