"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2010","User login with wrong email or password","LMS system","2026-06-24","passed","2026-06-24","Authorization","Authentication","",""
"","1977","Registration with correct email, username and password","LMS system","2026-06-24","passed","2026-06-24","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-24","passed","2026-06-24","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-06-24","passed","2026-06-24","","test_markers","",""
"","2816","Create course","LMS system","2026-06-24","passed","2026-06-24","Courses","Courses","",""
"","3471","User login with correct email and password","LMS system","2026-06-24","passed","2026-06-24","Authorization","Authentication","",""
"","1506","Check displaying of empty courses list","LMS system","2026-06-24","passed","2026-06-24","Courses","Courses","",""
"","1402","Check displaying of dashboard page","LMS system","2026-06-24","passed","2026-06-24","Dashboard","Dashboard","",""
"","1609","User login with wrong email or password","LMS system","2026-06-24","passed","2026-06-24","Authorization","Authentication","",""
"","2924","Edit course","LMS system","2026-06-24","passed","2026-06-24","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-24","passed","2026-06-24","TestUserInterface","test_markers","",""
"","0","test_logout","tests.pytest","2026-06-24","passed","2026-06-24","TestUserAuthentification","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-24","passed","2026-06-24","","test_markers","",""
"","1872","User login with wrong email or password","LMS system","2026-06-24","passed","2026-06-24","Authorization","Authentication","",""
"","1424","Navigation login page to registration page","LMS system","2026-06-24","passed","2026-06-24","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-24","passed","2026-06-24","TestUserAuthentification","test_markers","",""
