"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Jun 05 07:51:50 UTC 2026","Fri Jun 05 07:51:52 UTC 2026","1317","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Fri Jun 05 07:51:52 UTC 2026","Fri Jun 05 07:51:53 UTC 2026","1662","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 05 07:51:55 UTC 2026","Fri Jun 05 07:51:58 UTC 2026","2498","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Fri Jun 05 07:51:48 UTC 2026","Fri Jun 05 07:51:50 UTC 2026","1676","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Fri Jun 05 07:51:58 UTC 2026","Fri Jun 05 07:51:59 UTC 2026","1465","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 05 07:51:46 UTC 2026","Fri Jun 05 07:51:48 UTC 2026","1750","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 07:51:54 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","2122","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Jun 05 07:51:50 UTC 2026","Fri Jun 05 07:51:51 UTC 2026","1423","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 07:51:53 UTC 2026","Fri Jun 05 07:51:54 UTC 2026","1491","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jun 05 07:51:46 UTC 2026","Fri Jun 05 07:51:49 UTC 2026","3183","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Jun 05 07:51:57 UTC 2026","Fri Jun 05 07:51:57 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
